 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
 -----------------------------------------------------
     29.13      3.71      0.26      0.87      0.20      1.24      1.25      0.54
     33.51      1.15      0.23      0.67      0.20      1.10      1.13      0.53
     38.75      7.98      0.34      0.80      0.25      1.54      1.21      0.60
     31.62      1.91      0.35      1.00      0.23      1.54      1.11      0.58
     31.40      7.60      0.22      0.93      0.23      1.78      1.14      0.56
     37.37      5.38      0.29      0.84      0.17      1.54      1.17      0.57
     30.06      3.92      0.38      0.80      0.13      1.44      1.30      0.59
     35.74      3.90      0.32      1.04      0.12      1.02      1.16      0.54
     29.08      6.47      0.38      0.71      0.29      1.48      1.07      0.59
     32.63      8.38      0.34      0.80      0.13      1.86      1.19      0.57
     37.55      5.39      0.38      0.97      0.29      1.74      1.18      0.60
     27.82      5.98      0.26      0.88      0.20      1.55      1.28      0.53
     29.93      3.58      0.35      0.63      0.15      1.23      1.27      0.56
     31.16      4.31      0.25      0.77      0.23      1.73      1.13      0.55
     27.32      4.16      0.25      0.64      0.15      1.19      1.06      0.58
     32.17      7.42      0.30      0.79      0.26      1.75      1.11      0.60
     26.03      3.77      0.39      0.98      0.20      1.64      1.12      0.55
     33.32      3.93      0.28      0.91      0.20      1.86      1.12      0.53
     26.25      4.35      0.30      0.76      0.06      1.98      1.26      0.54
     30.01      5.66      0.38      0.88      0.28      1.56      1.12      0.59
     27.50      7.94      0.24      0.75      0.21      1.93      1.05      0.59
     33.90      5.80      0.36      0.69      0.10      1.58      1.28      0.55
     31.19      8.07      0.36      1.02      0.10      1.73      1.24      0.54
     32.52      7.70      0.37      0.88      0.08      1.51      1.30      0.56
     29.84      8.11      0.27      0.78      0.25      1.87      1.05      0.55
     32.78      8.92      0.30      1.09      0.25      1.95      1.25      0.53
     32.56      7.68      0.34      0.73      0.16      1.13      1.11      0.55
     26.50      1.86      0.36      0.72      0.23      1.99      1.08      0.54
     32.03      4.96      0.24      0.64      0.22      1.05      1.14      0.59
     26.88      7.74      0.34      0.87      0.21      1.68      1.22      0.57
     26.87      3.92      0.27      0.71      0.26      1.46      1.06      0.53
     31.82      2.24      0.36      0.62      0.23      1.80      1.20      0.56
     31.12      8.03      0.33      0.87      0.11      1.74      1.24      0.59
     27.62      4.61      0.33      0.78      0.16      1.75      1.10      0.54
     26.11      1.35      0.22      0.88      0.08      1.21      1.07      0.57
     32.47      4.36      0.35      0.64      0.30      1.95      1.07      0.57
     30.70      2.86      0.25      0.63      0.17      1.61      1.20      0.57
     25.26      4.76      0.23      0.64      0.27      1.44      1.08      0.59
     31.22      3.78      0.37      1.04      0.23      1.21      1.14      0.54
     34.49      3.06      0.28      0.94      0.24      1.63      1.18      0.58
     37.80      3.83      0.37      0.85      0.13      1.28      1.17      0.54
     33.44      2.67      0.22      0.77      0.29      1.37      1.11      0.57
     25.66      7.96      0.33      1.01      0.25      1.08      1.07      0.60
     28.32      2.54      0.38      0.98      0.10      1.51      1.09      0.56
     31.00      2.85      0.31      0.86      0.17      1.22      1.15      0.59
     37.65      7.98      0.39      0.80      0.14      1.33      1.25      0.57
     39.62      5.01      0.36      0.76      0.19      1.94      1.15      0.55
     37.99      5.23      0.31      0.71      0.21      1.80      1.12      0.54
     25.74      7.93      0.21      0.61      0.28      1.80      1.11      0.59
     27.11      8.53      0.39      0.61      0.11      1.44      1.15      0.56
     37.53      2.79      0.33      0.72      0.17      1.06      1.17      0.56
     36.78      7.48      0.33      1.02      0.07      1.57      1.24      0.55
     32.81      6.47      0.29      0.63      0.21      1.16      1.28      0.56
     37.98      4.82      0.31      0.64      0.28      1.11      1.23      0.53
     32.17      2.25      0.38      0.75      0.16      1.31      1.21      0.56
     25.14      4.78      0.40      0.88      0.27      1.11      1.15      0.60
     29.24      8.25      0.32      0.80      0.24      1.34      1.14      0.56
     27.06      2.51      0.23      0.98      0.16      1.36      1.11      0.56
     33.85      6.06      0.39      0.81      0.09      1.57      1.14      0.55
     35.60      6.67      0.21      0.74      0.09      1.48      1.27      0.60
     30.64      5.96      0.22      0.60      0.20      1.40      1.07      0.54
     31.26      3.56      0.33      0.76      0.08      1.04      1.18      0.58
     26.94      6.07      0.22      0.76      0.28      1.07      1.05      0.57
     30.16      4.59      0.32      0.99      0.20      1.82      1.08      0.56
     36.88      5.40      0.28      0.68      0.28      1.29      1.30      0.59
     33.22      3.82      0.33      0.68      0.11      1.40      1.21      0.55
     36.26      7.30      0.21      0.61      0.19      1.14      1.17      0.54
     31.68      6.88      0.33      0.77      0.26      1.08      1.23      0.59
     39.03      7.38      0.22      0.91      0.06      1.64      1.09      0.58
     25.87      1.36      0.37      0.67      0.27      1.57      1.08      0.55
     29.55      6.96      0.27      1.10      0.29      1.52      1.29      0.57
     30.80      1.37      0.26      0.73      0.06      1.75      1.24      0.57
     28.62      5.72      0.36      1.09      0.27      1.18      1.06      0.53
     26.20      3.31      0.28      0.99      0.21      1.65      1.13      0.59
     30.85      2.09      0.28      0.75      0.29      1.13      1.09      0.55
     37.04      7.76      0.25      1.05      0.08      1.19      1.16      0.56
     37.68      2.53      0.32      0.80      0.10      1.07      1.12      0.56
     36.71      6.27      0.36      0.98      0.27      1.40      1.09      0.53
     27.65      3.19      0.20      1.10      0.10      1.79      1.20      0.54
     25.56      2.24      0.29      0.92      0.15      1.25      1.10      0.55
     37.64      7.73      0.21      0.62      0.18      1.12      1.23      0.54
     27.61      7.16      0.21      0.80      0.12      1.28      1.08      0.56
     27.00      1.98      0.25      0.95      0.19      1.71      1.06      0.60
     36.33      4.51      0.29      0.67      0.23      1.51      1.21      0.56
     39.18      7.40      0.23      0.81      0.21      1.79      1.22      0.55
     26.00      3.30      0.32      0.68      0.09      1.88      1.30      0.53
     26.67      4.19      0.34      0.89      0.06      1.22      1.19      0.53
     36.16      5.73      0.20      0.67      0.07      1.41      1.30      0.55
     31.98      6.02      0.38      0.99      0.16      1.07      1.10      0.54
     26.89      1.96      0.25      0.86      0.18      1.78      1.19      0.56
     29.97      2.73      0.20      0.77      0.13      1.19      1.22      0.53
     30.82      5.97      0.21      0.78      0.29      1.89      1.20      0.53
     32.51      7.56      0.27      0.92      0.12      1.71      1.25      0.57
     35.21      7.94      0.40      0.76      0.28      1.49      1.19      0.59
     30.67      5.41      0.39      1.00      0.28      1.41      1.23      0.59
     26.02      1.60      0.32      0.71      0.30      1.20      1.10      0.57
     25.00      8.36      0.26      1.00      0.20      1.01      1.21      0.60
     26.55      6.01      0.33      0.77      0.18      1.21      1.27      0.53
     35.24      1.49      0.22      0.74      0.06      1.24      1.17      0.53
     28.52      4.80      0.29      0.65      0.08      1.96      1.23      0.57
     30.18      5.75      0.26      0.64      0.13      1.83      1.23      0.59
     37.79      4.34      0.40      0.61      0.06      1.67      1.26      0.54
     29.70      8.50      0.34      0.86      0.25      1.11      1.13      0.54
     37.58      8.22      0.30      0.82      0.08      1.70      1.23      0.55
     32.37      4.59      0.28      0.79      0.28      1.91      1.29      0.56
     33.91      2.65      0.27      0.81      0.09      1.52      1.28      0.59
     33.77      1.28      0.23      0.82      0.10      1.27      1.11      0.55
     26.52      6.31      0.32      1.05      0.10      1.93      1.23      0.56
     31.41      3.34      0.30      0.99      0.26      1.21      1.19      0.55
     27.87      2.51      0.25      0.71      0.26      1.79      1.10      0.54
     38.92      5.83      0.29      0.92      0.19      1.64      1.16      0.56
     34.60      3.36      0.24      1.07      0.11      1.84      1.07      0.56
     35.98      8.62      0.34      0.68      0.11      1.67      1.15      0.59
     37.13      4.92      0.22      0.89      0.06      1.25      1.15      0.53
     26.32      2.54      0.39      1.01      0.25      1.40      1.18      0.56
     33.91      1.09      0.23      0.99      0.22      1.84      1.24      0.57
     25.44      1.54      0.34      0.86      0.06      1.53      1.15      0.54
     35.12      8.86      0.29      0.76      0.15      1.81      1.13      0.54
     35.40      3.83      0.36      1.02      0.13      1.96      1.26      0.54
     26.14      2.10      0.27      0.72      0.15      1.15      1.24      0.58
     30.26      7.97      0.32      0.96      0.28      1.53      1.29      0.58
     32.71      4.64      0.28      1.08      0.29      1.46      1.08      0.53
     36.00      5.74      0.25      0.93      0.08      1.29      1.20      0.59
     35.21      2.33      0.20      0.92      0.16      1.04      1.21      0.54
     26.72      8.58      0.32      0.95      0.08      1.23      1.18      0.56
     28.59      6.75      0.21      0.74      0.13      1.23      1.07      0.54
     26.13      8.88      0.27      0.63      0.20      1.79      1.05      0.53
     33.58      1.08      0.24      0.65      0.26      1.62      1.21      0.59
     35.38      2.89      0.28      0.93      0.16      1.39      1.07      0.57
     38.03      2.99      0.31      0.97      0.10      1.27      1.26      0.55
     30.59      5.23      0.37      0.93      0.11      1.37      1.24      0.53
     27.76      5.91      0.23      0.61      0.28      1.26      1.17      0.55
     35.14      6.95      0.37      0.94      0.13      1.67      1.09      0.53
     28.29      6.74      0.21      0.91      0.29      1.58      1.19      0.56
     25.32      7.12      0.29      0.64      0.15      1.34      1.24      0.59
     33.92      3.57      0.21      0.87      0.08      1.31      1.19      0.58
     32.53      6.43      0.24      0.95      0.08      1.48      1.18      0.56
     29.54      5.36      0.21      0.90      0.27      1.94      1.13      0.58
     31.56      6.36      0.33      0.71      0.05      1.41      1.18      0.59
     30.50      8.39      0.23      0.89      0.16      1.96      1.14      0.56
     26.28      5.07      0.34      1.02      0.22      1.80      1.28      0.56
     27.40      2.37      0.26      0.73      0.07      1.73      1.19      0.58
     29.21      3.58      0.35      0.66      0.05      1.85      1.06      0.58
     28.20      2.32      0.23      0.79      0.19      1.20      1.06      0.54
     37.51      6.46      0.39      0.66      0.25      1.80      1.16      0.54
     26.08      4.09      0.35      1.06      0.26      1.08      1.08      0.60
     26.20      7.77      0.21      0.62      0.14      1.98      1.13      0.55
     35.43      5.68      0.21      0.92      0.16      1.75      1.12      0.59
     34.12      3.03      0.25      0.86      0.07      1.31      1.28      0.54
     34.97      6.00      0.23      0.97      0.10      1.66      1.14      0.53
     28.93      8.97      0.34      1.08      0.20      1.44      1.15      0.56
     37.13      5.54      0.31      0.87      0.20      1.04      1.14      0.57
     38.82      3.64      0.38      0.76      0.14      1.35      1.16      0.57
     30.18      1.17      0.38      1.06      0.28      1.28      1.22      0.55
     27.67      2.07      0.36      0.72      0.28      1.31      1.22      0.55
     29.76      7.37      0.39      0.92      0.13      1.75      1.15      0.55
     31.68      5.06      0.29      0.76      0.13      1.11      1.22      0.56
     29.16      7.22      0.33      1.01      0.18      1.26      1.26      0.59
     28.03      2.65      0.33      0.77      0.22      1.44      1.15      0.55
     27.23      2.77      0.27      0.93      0.27      1.28      1.20      0.58
     25.62      5.13      0.29      0.72      0.26      1.12      1.29      0.54
     39.69      5.30      0.21      0.72      0.17      1.33      1.12      0.54
     39.35      7.94      0.35      0.89      0.28      1.12      1.14      0.58
     33.48      7.89      0.22      0.62      0.10      1.08      1.06      0.60
     26.09      1.26      0.31      0.89      0.12      1.71      1.07      0.53
     35.54      1.31      0.36      1.09      0.22      1.40      1.21      0.57
     38.84      7.94      0.36      0.90      0.22      1.99      1.18      0.58
     26.91      1.72      0.36      0.74      0.11      1.02      1.21      0.58
     27.84      4.61      0.27      0.61      0.10      1.13      1.07      0.57
     34.09      3.83      0.34      0.68      0.19      1.81      1.17      0.54
     30.60      2.86      0.38      0.85      0.25      1.53      1.20      0.56
     31.18      2.37      0.29      0.91      0.14      1.12      1.08      0.53
     31.06      8.54      0.26      0.93      0.25      1.15      1.12      0.56
     33.53      3.50      0.36      0.78      0.13      1.71      1.08      0.53
     27.16      2.26      0.27      0.82      0.15      1.35      1.15      0.57
     39.51      2.23      0.27      0.85      0.07      1.42      1.29      0.57
     32.83      5.01      0.25      1.01      0.07      1.91      1.16      0.57
     26.54      2.89      0.38      0.79      0.08      1.71      1.24      0.56
     37.70      6.62      0.31      1.07      0.17      1.68      1.11      0.57
     27.16      5.17      0.24      0.88      0.16      1.54      1.26      0.57
     36.39      4.60      0.38      0.93      0.07      1.36      1.07      0.55
     37.24      2.22      0.29      0.93      0.19      1.12      1.29      0.60
     38.64      4.13      0.32      0.78      0.16      1.02      1.27      0.55
     28.19      1.83      0.21      0.72      0.22      1.85      1.13      0.59
     32.19      1.02      0.31      0.64      0.15      1.22      1.08      0.55
     33.79      2.13      0.20      0.88      0.25      1.87      1.29      0.56
     26.79      1.20      0.32      1.07      0.13      1.19      1.20      0.53
     39.71      2.38      0.24      0.61      0.22      1.84      1.15      0.54
     30.90      1.49      0.35      0.68      0.27      1.36      1.22      0.54
     27.37      7.88      0.34      0.92      0.20      1.37      1.08      0.57
     27.00      4.74      0.28      1.04      0.08      1.19      1.16      0.59
     28.60      2.21      0.31      0.63      0.10      1.30      1.16      0.58
     29.69      3.29      0.34      0.64      0.06      1.71      1.15      0.54
     26.80      3.34      0.29      0.74      0.16      1.01      1.07      0.59
     33.94      1.31      0.27      0.96      0.15      1.06      1.07      0.57
     29.69      8.41      0.34      0.84      0.22      1.55      1.23      0.54
     36.27      3.10      0.40      0.79      0.07      1.66      1.08      0.54
     34.46      1.94      0.29      0.84      0.28      1.31      1.07      0.53
     38.50      1.81      0.34      1.09      0.05      1.48      1.15      0.54
     36.20      6.50      0.29      0.80      0.14      1.57      1.12      0.53
     29.00      1.68      0.27      0.99      0.16      1.83      1.08      0.56
     39.99      2.14      0.32      1.07      0.10      1.03      1.13      0.59
     34.56      6.75      0.23      0.64      0.11      1.73      1.11      0.56
