 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
 -----------------------------------------------------
     35.64      8.49      0.25      0.95      0.25      1.29      1.14      0.57
     35.61      2.17      0.28      0.64      0.28      1.49      1.11      0.59
     25.65      5.84      0.22      0.75      0.29      1.76      1.17      0.54
     31.02      1.44      0.38      0.68      0.29      1.96      1.21      0.60
     32.89      7.78      0.25      0.70      0.10      1.78      1.13      0.59
     30.18      4.79      0.30      0.85      0.15      1.08      1.29      0.57
     33.67      5.68      0.40      0.93      0.20      1.96      1.16      0.59
     29.97      1.36      0.25      1.01      0.11      1.33      1.13      0.56
     33.48      3.47      0.24      0.88      0.19      1.82      1.28      0.57
     38.84      4.21      0.30      0.73      0.28      1.27      1.15      0.55
     33.99      2.29      0.27      0.60      0.23      1.15      1.26      0.59
     36.44      4.50      0.36      0.72      0.18      1.76      1.24      0.55
     38.80      8.98      0.38      1.03      0.16      1.74      1.18      0.54
     36.99      4.70      0.27      0.72      0.19      1.88      1.29      0.57
     34.33      1.36      0.22      0.75      0.24      1.56      1.25      0.55
     35.52      1.73      0.34      0.85      0.06      1.14      1.08      0.53
     33.77      5.36      0.33      1.07      0.20      1.58      1.15      0.55
     26.62      6.46      0.29      1.09      0.05      1.77      1.28      0.59
     37.13      4.68      0.34      0.60      0.18      1.56      1.27      0.56
     38.13      8.92      0.37      0.67      0.18      1.12      1.20      0.54
     34.17      6.67      0.36      0.86      0.07      1.53      1.22      0.54
     39.41      6.57      0.32      0.88      0.24      1.72      1.17      0.58
     30.33      4.40      0.32      0.89      0.27      1.44      1.30      0.54
     25.99      6.55      0.38      0.79      0.16      1.62      1.20      0.54
     39.33      5.21      0.24      0.67      0.14      1.64      1.16      0.59
     27.68      8.61      0.36      0.82      0.16      1.58      1.29      0.54
     33.65      2.80      0.36      0.66      0.29      1.84      1.25      0.60
     35.01      4.20      0.32      0.99      0.06      1.50      1.25      0.56
     29.15      3.46      0.40      0.85      0.29      1.84      1.26      0.55
     26.82      6.97      0.34      0.90      0.23      1.17      1.09      0.53
     39.43      6.70      0.38      1.03      0.18      1.85      1.09      0.59
     27.61      1.21      0.40      0.98      0.24      1.37      1.20      0.53
     33.88      4.77      0.31      0.92      0.24      1.02      1.29      0.60
     26.14      3.34      0.40      1.03      0.09      1.13      1.09      0.58
     37.30      4.67      0.33      0.65      0.24      1.83      1.11      0.53
     36.01      8.84      0.23      0.99      0.18      1.96      1.24      0.59
     27.49      6.08      0.33      0.92      0.05      1.31      1.07      0.55
     29.29      3.28      0.27      1.02      0.19      1.83      1.27      0.54
     37.32      2.60      0.27      1.10      0.17      1.25      1.21      0.59
     35.20      4.50      0.33      0.71      0.23      1.19      1.15      0.54
     34.13      7.20      0.37      0.73      0.07      1.59      1.12      0.57
     29.75      5.78      0.30      0.72      0.29      1.42      1.15      0.57
     39.34      6.95      0.39      0.85      0.16      1.07      1.22      0.59
     35.07      5.56      0.33      0.68      0.25      1.18      1.28      0.54
     30.33      5.53      0.36      0.72      0.24      1.53      1.06      0.58
     29.09      3.14      0.26      0.74      0.16      1.75      1.10      0.57
     26.35      8.64      0.38      1.08      0.17      1.03      1.26      0.53
     25.06      8.93      0.38      0.96      0.19      1.63      1.19      0.58
     38.16      4.71      0.21      1.08      0.24      1.96      1.18      0.56
     25.38      3.78      0.24      0.79      0.14      1.93      1.19      0.59
     36.06      3.82      0.27      0.62      0.13      1.13      1.07      0.54
     34.75      8.34      0.25      0.82      0.24      1.54      1.15      0.59
     39.14      2.27      0.28      0.68      0.06      1.83      1.12      0.55
     36.61      2.75      0.37      0.80      0.27      1.58      1.24      0.57
     28.88      4.23      0.27      0.95      0.21      1.70      1.15      0.53
     25.97      3.64      0.29      0.65      0.17      1.29      1.23      0.55
     32.88      2.17      0.24      0.78      0.13      1.96      1.20      0.59
     34.07      6.17      0.36      1.01      0.06      1.84      1.23      0.55
     25.28      3.46      0.38      1.00      0.17      1.62      1.25      0.55
     33.10      6.91      0.38      0.83      0.22      1.75      1.30      0.55
     33.97      4.07      0.21      1.06      0.23      1.70      1.08      0.55
     26.45      2.67      0.34      1.10      0.28      1.49      1.19      0.59
     29.15      6.93      0.35      0.97      0.21      1.30      1.21      0.55
     32.70      8.07      0.33      0.72      0.21      1.12      1.16      0.57
     37.08      7.40      0.39      0.65      0.06      1.04      1.09      0.58
     38.50      6.15      0.39      0.70      0.25      1.44      1.29      0.54
     28.46      6.59      0.33      0.90      0.30      1.47      1.15      0.59
     25.87      3.26      0.28      0.73      0.05      1.51      1.24      0.55
     31.98      6.28      0.26      0.85      0.24      1.40      1.28      0.60
     38.33      3.87      0.36      0.62      0.07      1.89      1.24      0.54
     39.26      7.27      0.39      0.95      0.26      1.41      1.08      0.56
     34.49      5.49      0.33      1.08      0.06      1.02      1.15      0.56
     31.36      1.40      0.36      0.95      0.13      1.77      1.24      0.54
     30.02      8.56      0.21      0.71      0.24      1.66      1.28      0.55
     37.97      4.91      0.36      0.97      0.14      1.55      1.12      0.54
     30.46      3.53      0.23      0.88      0.07      1.86      1.28      0.55
     39.51      3.40      0.23      1.01      0.20      1.07      1.05      0.55
     32.12      2.64      0.21      0.97      0.15      1.68      1.28      0.56
     25.34      2.74      0.35      1.02      0.06      1.02      1.06      0.54
     37.18      2.41      0.38      0.91      0.23      1.11      1.24      0.58
     27.59      2.22      0.22      0.69      0.27      1.31      1.28      0.57
     39.13      6.54      0.36      1.00      0.07      1.76      1.25      0.58
     26.08      6.80      0.33      0.91      0.06      1.89      1.09      0.54
     28.44      8.30      0.29      0.93      0.26      1.60      1.06      0.54
     38.88      6.85      0.29      0.66      0.10      1.44      1.10      0.60
     34.12      7.69      0.34      0.79      0.25      1.80      1.27      0.55
     26.35      2.22      0.27      0.85      0.29      1.78      1.22      0.54
     39.91      5.31      0.29      1.07      0.22      1.98      1.09      0.60
     34.12      4.13      0.37      0.98      0.15      1.23      1.07      0.55
     32.44      7.95      0.31      0.62      0.10      1.12      1.22      0.56
     36.81      1.25      0.22      0.77      0.15      1.28      1.10      0.56
     39.91      2.99      0.37      1.10      0.23      1.74      1.11      0.56
     26.03      4.29      0.31      0.67      0.15      1.39      1.22      0.55
